DRUG_ID	DRUG_NAME	DepMapID	AUC_PUBLISHED
1017	OLAPARIB	ACH-000856	0.9340290000000001
1017	OLAPARIB	ACH-000759	0.9644520000000001
1017	OLAPARIB	ACH-000699	0.9289790000000001
1017	OLAPARIB	ACH-000910	0.9822649999999999
1017	OLAPARIB	ACH-000857	0.9661049999999999
1017	OLAPARIB	ACH-000691	0.986826
1017	OLAPARIB	ACH-000783	0.9446549999999999
1017	OLAPARIB	ACH-000849	0.925781
1017	OLAPARIB	ACH-000711	0.9710610000000001
1017	OLAPARIB	ACH-000349	0.975359
1017	OLAPARIB	ACH-000148	0.958257
1017	OLAPARIB	ACH-000248	0.967363
1017	OLAPARIB	ACH-000643	0.942649
1017	OLAPARIB	ACH-000934	0.9629459999999999
1017	OLAPARIB	ACH-000573	0.9565469999999999
1017	OLAPARIB	ACH-000223	0.974608
1017	OLAPARIB	ACH-000768	0.961673
1017	OLAPARIB	ACH-000554	0.943068
1017	OLAPARIB	ACH-000117	0.9390139999999999
1017	OLAPARIB	ACH-000818	0.959209
1017	OLAPARIB	ACH-000196	0.9603200000000001
1017	OLAPARIB	ACH-000374	0.9602040000000001
1017	OLAPARIB	ACH-000624	0.9469420000000001
1017	OLAPARIB	ACH-000277	0.965513
1017	OLAPARIB	ACH-000352	0.9688209999999999
1017	OLAPARIB	ACH-000212	0.9720059999999999
1017	OLAPARIB	ACH-000568	0.9589639999999999
1017	OLAPARIB	ACH-000330	0.966612
1017	OLAPARIB	ACH-000621	0.970651
1017	OLAPARIB	ACH-000859	0.960889
1017	OLAPARIB	ACH-000536	0.9720780000000001
1017	OLAPARIB	ACH-000048	0.9441229999999999
1017	OLAPARIB	ACH-000222	0.963116
1017	OLAPARIB	ACH-000118	0.93779
1017	OLAPARIB	ACH-001630	0.968057
1017	OLAPARIB	ACH-000060	0.9721870000000001
1017	OLAPARIB	ACH-000864	0.9797819999999999
1017	OLAPARIB	ACH-000114	0.909885
1017	OLAPARIB	ACH-000913	0.961774
1017	OLAPARIB	ACH-000308	0.926161
1017	OLAPARIB	ACH-000527	0.965694
1017	OLAPARIB	ACH-000430	0.9206610000000001
1017	OLAPARIB	ACH-000320	0.9515020000000001
1017	OLAPARIB	ACH-000138	0.953333
1017	OLAPARIB	ACH-000213	0.9678190000000001
1017	OLAPARIB	ACH-000354	0.8963780000000001
1017	OLAPARIB	ACH-001374	0.974842
1017	OLAPARIB	ACH-000091	0.955118
1017	OLAPARIB	ACH-000885	0.9411860000000001
1017	OLAPARIB	ACH-000107	0.932054
1017	OLAPARIB	ACH-000265	0.962017
1017	OLAPARIB	ACH-000270	0.9466469999999999
1017	OLAPARIB	ACH-000281	0.962591
1017	OLAPARIB	ACH-000704	0.9592280000000001
1017	OLAPARIB	ACH-001655	0.9832270000000001
1017	OLAPARIB	ACH-000524	0.958008
1017	OLAPARIB	ACH-000906	0.9451870000000001
1017	OLAPARIB	ACH-000243	0.9571049999999999
1017	OLAPARIB	ACH-000094	0.9682440000000001
1017	OLAPARIB	ACH-000332	0.9639610000000001
1017	OLAPARIB	ACH-000879	0.9391579999999999
1017	OLAPARIB	ACH-000443	0.9593950000000001
1017	OLAPARIB	ACH-000663	0.967498
1017	OLAPARIB	ACH-000719	0.9709260000000001
1017	OLAPARIB	ACH-000811	0.9540770000000001
1017	OLAPARIB	ACH-000966	0.8660190000000001
1017	OLAPARIB	ACH-000023	0.9592430000000001
1017	OLAPARIB	ACH-000657	0.886238
1017	OLAPARIB	ACH-000940	0.9715440000000001
1017	OLAPARIB	ACH-000291	0.9689959999999999
1017	OLAPARIB	ACH-000192	0.956535
1017	OLAPARIB	ACH-000652	0.9316610000000001
1017	OLAPARIB	ACH-000988	0.939206
1017	OLAPARIB	ACH-000042	0.9581799999999999
1017	OLAPARIB	ACH-000178	0.9400360000000001
1017	OLAPARIB	ACH-001151	0.973891
1017	OLAPARIB	ACH-000978	0.9730700000000001
1017	OLAPARIB	ACH-000535	0.9661559999999999
1017	OLAPARIB	ACH-000974	0.987554
1017	OLAPARIB	ACH-000574	0.940448
1017	OLAPARIB	ACH-000696	0.93321
1017	OLAPARIB	ACH-000001	0.934659
1017	OLAPARIB	ACH-000965	0.9266530000000001
1017	OLAPARIB	ACH-000293	0.899776
1022	AZD7762	ACH-000856	0.656987
1022	AZD7762	ACH-000759	0.78792
1022	AZD7762	ACH-000699	0.49876899999999996
1022	AZD7762	ACH-000910	0.6756260000000001
1022	AZD7762	ACH-000857	0.732692
1022	AZD7762	ACH-000691	0.839332
1022	AZD7762	ACH-000755	0.9447200000000001
1022	AZD7762	ACH-000783	0.903215
1022	AZD7762	ACH-000849	0.755608
1022	AZD7762	ACH-000711	0.733769
1022	AZD7762	ACH-000349	0.955678
1022	AZD7762	ACH-000248	0.769748
1022	AZD7762	ACH-000643	0.804143
1022	AZD7762	ACH-000934	0.694404
1022	AZD7762	ACH-000573	0.875034
1022	AZD7762	ACH-000223	0.718104
1022	AZD7762	ACH-000768	0.765379
1022	AZD7762	ACH-000554	0.9404600000000001
1022	AZD7762	ACH-000117	0.9406629999999999
1022	AZD7762	ACH-000818	0.823526
1022	AZD7762	ACH-000196	0.7089
1022	AZD7762	ACH-000374	0.571444
1022	AZD7762	ACH-000624	0.509737
1022	AZD7762	ACH-000277	0.9649620000000001
1022	AZD7762	ACH-000725	0.8700969999999999
1022	AZD7762	ACH-000352	0.8903790000000001
1022	AZD7762	ACH-000212	0.825817
1022	AZD7762	ACH-000568	0.9285629999999999
1022	AZD7762	ACH-000330	0.8353870000000001
1022	AZD7762	ACH-000621	0.535942
1022	AZD7762	ACH-000859	0.698527
1022	AZD7762	ACH-000536	0.894702
1022	AZD7762	ACH-000048	0.694002
1022	AZD7762	ACH-000222	0.8058529999999999
1022	AZD7762	ACH-000118	0.591838
1022	AZD7762	ACH-001630	0.781688
1022	AZD7762	ACH-000060	0.725482
1022	AZD7762	ACH-000864	0.57292
1022	AZD7762	ACH-000114	0.799824
1022	AZD7762	ACH-000913	0.40193
1022	AZD7762	ACH-000308	0.666519
1022	AZD7762	ACH-000527	0.644091
1022	AZD7762	ACH-000430	0.6079899999999999
1022	AZD7762	ACH-000320	0.6707569999999999
1022	AZD7762	ACH-000138	0.599902
1022	AZD7762	ACH-000213	0.760787
1022	AZD7762	ACH-000354	0.713658
1022	AZD7762	ACH-001374	0.6901970000000001
1022	AZD7762	ACH-000148	0.571055
1022	AZD7762	ACH-000091	0.784431
1022	AZD7762	ACH-000885	0.5434439999999999
1022	AZD7762	ACH-000107	0.645526
1022	AZD7762	ACH-000265	0.715623
1022	AZD7762	ACH-000270	0.660454
1022	AZD7762	ACH-000281	0.721472
1022	AZD7762	ACH-000704	0.715747
1022	AZD7762	ACH-001655	0.714356
1022	AZD7762	ACH-000524	0.753185
1022	AZD7762	ACH-000906	0.605544
1022	AZD7762	ACH-000243	0.558076
1022	AZD7762	ACH-000094	0.710346
1022	AZD7762	ACH-000332	0.6958880000000001
1022	AZD7762	ACH-000879	0.74751
1022	AZD7762	ACH-000443	0.7699090000000001
1022	AZD7762	ACH-000663	0.713649
1022	AZD7762	ACH-000719	0.705559
1022	AZD7762	ACH-000811	0.693948
1022	AZD7762	ACH-000966	0.473602
1022	AZD7762	ACH-000023	0.7124020000000001
1022	AZD7762	ACH-000657	0.58765
1022	AZD7762	ACH-000940	0.66981
1022	AZD7762	ACH-000291	0.774216
1022	AZD7762	ACH-000192	0.801484
1022	AZD7762	ACH-000652	0.741261
1022	AZD7762	ACH-000988	0.610115
1022	AZD7762	ACH-000042	0.634671
1022	AZD7762	ACH-000178	0.559688
1022	AZD7762	ACH-001151	0.5912029999999999
1022	AZD7762	ACH-000978	0.670621
1022	AZD7762	ACH-000535	0.567181
1022	AZD7762	ACH-000974	0.613757
1022	AZD7762	ACH-000574	0.744309
1022	AZD7762	ACH-000696	0.490147
1022	AZD7762	ACH-000001	0.7188760000000001
1022	AZD7762	ACH-000965	0.694797
1022	AZD7762	ACH-000293	0.7354729999999999
1030	KU-55933	ACH-000856	0.979721
1030	KU-55933	ACH-000759	0.9709030000000001
1030	KU-55933	ACH-000699	0.935011
1030	KU-55933	ACH-000910	0.9728049999999999
1030	KU-55933	ACH-000857	0.95785
1030	KU-55933	ACH-000691	0.9679690000000001
1030	KU-55933	ACH-000755	0.9702270000000001
1030	KU-55933	ACH-000783	0.9490270000000001
1030	KU-55933	ACH-000849	0.9537459999999999
1030	KU-55933	ACH-000711	0.9923299999999999
1030	KU-55933	ACH-000349	0.983941
1030	KU-55933	ACH-000148	0.887799
1030	KU-55933	ACH-000248	0.9458110000000001
1030	KU-55933	ACH-000643	0.9568540000000001
1030	KU-55933	ACH-000934	0.9770690000000001
1030	KU-55933	ACH-000573	0.949843
1030	KU-55933	ACH-000223	0.9519709999999999
1030	KU-55933	ACH-000768	0.9635950000000001
1030	KU-55933	ACH-000554	0.986556
1030	KU-55933	ACH-000117	0.967726
1030	KU-55933	ACH-000818	0.958691
