DepMapID	correlation	CellLine_Name_Cleaned	Cancer_Type	Cancer_Subtype	DerivedFrom_Primary_or_Met
ACH-000524	-0.07400531634885048	KURAMOCHI	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis
ACH-000525	-0.031704377500931163	NCIH2171	Lung Cancer	Small Cell Lung Cancer (SCLC)	Metastasis
ACH-000526	0.03669073942634244	HS821T	Fibroblast	Bone	Primary
ACH-000527	-0.1267316532509327	OVISE	Ovarian Cancer	Adenocarcinoma_clear cell	Metastasis
ACH-000529	0.06634816607242117	T173	Fibroblast	Bone	NA
ACH-000530	-0.04542213423730963	DMS114	Lung Cancer	Small Cell Lung Cancer (SCLC)	Primary
ACH-000532	-0.16019793384439177	SNU61	Colon/Colorectal Cancer	Adenocarcinoma	Metastasis
ACH-000533	0.003922770186094044	NCIH2004RT	Rhabdoid	Malignant Rhabdoid Tumor	NA
ACH-000534	-0.08925514399020722	WSUDLCL2	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis
ACH-000535	0.11498863495613228	BXPC3	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
ACH-000536	-0.28250130339298063	BT20	Breast Cancer	Breast Ductal Carcinoma	Primary
ACH-000538	-0.004423014037441927	HUTU80	Gastric Cancer	Duodenal Adenocarcinoma	Primary
ACH-000539	0.10044558525471327	HS618T	Fibroblast	Lung	Primary
ACH-000540	0.032558735679499136	HS606T	Fibroblast	Breast	NA
ACH-000541	-0.0604462470949192	KMS34	Myeloma	Multiple Myeloma	Primary
ACH-000542	0.13929933985461865	HEYA8	Ovarian Cancer	Adenocarcinoma_low grade serous	Metastasis
ACH-000543	0.007163064547106353	SNU489	Brain Cancer	Glioblastoma	NA
ACH-000544	0.14593336094313336	OE21	Esophageal Cancer	Squamous Cell Carcinoma	Primary
ACH-000545	0.1520040880163539	VMCUB1	Bladder Cancer	Transitional Cell Carcinoma	Primary
ACH-000546	0.06909105409780211	HSC4	Head and Neck Cancer	Squamous Cell Carcinoma	Metastasis
ACH-000547	0.08471530454525099	HT1197	Bladder Cancer	Carcinoma	Primary
ACH-000548	0.2961372823577806	BHY	Head and Neck Cancer	Squamous Cell Carcinoma_oral	Primary
ACH-000549	0.017958393707965585	SNU1076	Head and Neck Cancer	Squamous Cell Carcinoma_laryngeal	NA
ACH-000551	-0.11964065283018005	K562	Leukemia	Chronic Myelogenous Leukemia (CML)_blast crisis	Metastasis
